16-01-2024,China Ferry Terminal,Arrival,615,799,172,1586
18-01-2024,China Ferry Terminal,Arrival,614,946,337,1897
30-09-2024,China Ferry Terminal,Departure,614,472,30,1116
5/3/2024,China Ferry Terminal,Departure,612,494,211,1317
7/5/2024,China Ferry Terminal,Arrival,612,494,186,1292
18-02-2024,China Ferry Terminal,Departure,611,1807,156,2574
21-04-2024,China Ferry Terminal,Departure,611,633,288,1532
11/6/2024,China Ferry Terminal,Departure,611,281,102,994
23-01-2024,China Ferry Terminal,Departure,610,1224,191,2025
29-12-2024,China Ferry Terminal,Departure,609,912,79,1600
22-02-2024,China Ferry Terminal,Arrival,608,829,188,1625
29-02-2024,China Ferry Terminal,Arrival,608,522,218,1348
8/5/2024,China Ferry Terminal,Arrival,608,465,274,1347
12/6/2024,China Ferry Terminal,Arrival,608,518,109,1235
21-05-2024,China Ferry Terminal,Departure,607,389,168,1164
28-05-2024,China Ferry Terminal,Arrival,606,474,207,1287
16-08-2024,China Ferry Terminal,Arrival,606,758,161,1525
14-01-2024,China Ferry Terminal,Departure,605,1227,195,2027
22-07-2024,China Ferry Terminal,Departure,605,635,180,1420
16-04-2024,China Ferry Terminal,Departure,604,812,281,1697
2/3/2024,China Ferry Terminal,Arrival,603,763,262,1628
18-06-2024,China Ferry Terminal,Departure,602,429,116,1147
2/10/2024,China Ferry Terminal,Arrival,602,1600,77,2279
4/5/2024,China Ferry Terminal,Arrival,601,1093,303,1997
27-08-2024,China Ferry Terminal,Departure,600,762,125,1487
25-01-2024,China Ferry Terminal,Arrival,599,1135,238,1972
8/9/2024,China Ferry Terminal,Arrival,598,315,26,939
9/1/2024,China Ferry Terminal,Departure,597,684,182,1463
9/5/2024,China Ferry Terminal,Departure,597,582,188,1367
26-07-2024,China Ferry Terminal,Arrival,597,771,93,1461
19-12-2024,China Ferry Terminal,Departure,597,748,61,1406
3/8/2024,China Ferry Terminal,Arrival,595,1174,161,1930
18-07-2024,China Ferry Terminal,Departure,594,753,85,1432
20-12-2024,China Ferry Terminal,Arrival,594,808,73,1475
25-12-2024,China Ferry Terminal,Arrival,593,697,56,1346
15-07-2024,China Ferry Terminal,Arrival,592,670,100,1362
23-04-2024,China Ferry Terminal,Departure,591,476,309,1376
14-12-2024,China Ferry Terminal,Arrival,591,1361,69,2021
10/1/2024,China Ferry Terminal,Departure,590,685,217,1492
12/5/2024,China Ferry Terminal,Departure,590,506,298,1394
3/6/2024,China Ferry Terminal,Departure,590,276,129,995
3/3/2024,China Ferry Terminal,Departure,589,659,317,1565
